shipment_id,date,year,month,month_number,quarter,origin,destination,route,mode,hs_code,product_description,weight_kg,weight_tonnes,value_usd,shipment_value_million,status,bill_of_lading,shipper,consignee,remarks,Delay_Time(hrs),delay_days,Delay_Reason,delay_flag,delay_status
ADGF-2035394,2023-02-15,2023,February,2,1,"Shanghai, China","Dubai, UAE","Shanghai, China → Dubai, UAE",Sea,30049099,Smartphone units,150.7,0.1507,185435.88,0.18543588,Delivered,BOL7089080915,Sunrise Exports,Techtronica Pvt. Ltd.,No Remarks,50.0,2.083333333333333,Holiday Closure,True,Delayed
ADGF-2035520,2023-02-15,2023,February,2,1,"Seattle, USA","Dubai, UAE","Seattle, USA → Dubai, UAE",Sea,8109090,Textile rolls (cotton),886.2,0.8862000000000001,11801.46,0.01180146,Delivered,BOL8630787519,A & D International,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2026357,2023-02-16,2023,February,2,1,"Sydney, Australia",Domestic,"Sydney, Australia → Domestic",Sea,10063010,Furniture (assembled),315.4,0.31539999999999996,12780.74,0.01278074,Delivered,BOL9365713926,Oceanic Logistics Co.,Unknown (invoice),Port congestion noted,50.9,2.120833333333333,Traffic Issue,True,Delayed
ADGF-2026419,2023-02-16,2023,February,2,1,"Mumbai, India","Mumbai, India","Mumbai, India → Mumbai, India",Sea,85171200,Printed circuit boards,121.2,0.1212,15392.15,0.01539215,Delivered,BOL4943954387,A & D International,Unknown (invoice),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028216,2023-02-16,2023,February,2,1,"Bangkok, Thailand","Los Angeles, USA","Bangkok, Thailand → Los Angeles, USA",Sea,30049099,Fresh white flesh dragon fruits (public trade sample),1297.7,1.2977,2560.59,0.00256059,Delivered,BOL6315328096,A & D International,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028367,2023-02-16,2023,February,2,1,"Bangkok, Thailand",India,"Bangkok, Thailand → India",Sea,Unknown,Smartphone units,290.1,0.2901,53660.18,0.05366018,Delivered,BOL9773946716,Oceanic Logistics Co.,Unknown (invoice),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028553,2023-02-16,2023,February,2,1,"Jakarta, Indonesia",Singapore,"Jakarta, Indonesia → Singapore",Air,85423900,Ceramic tiles,3265.8,3.2658,2207.92,0.00220792,Delivered,BOL7036229766,A & D International,HomeStyle Furnitures,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2029205,2023-02-16,2023,February,2,1,"Shanghai, China",Singapore,"Shanghai, China → Singapore",Sea,7020010,Plastic granules,473.5,0.4735,1444.02,0.00144402,Delivered,BOL8094261464,Oceanic Logistics Co.,FreshFarms Importers,Delivery appointment rescheduled,0.0,0.0,No Delay,False,On Time
ADGF-2029524,2023-02-16,2023,February,2,1,"Kochi, India","Ho Chi Minh City, Vietnam","Kochi, India → Ho Chi Minh City, Vietnam",Sea,Unknown,Plastic granules,1381.3,1.3813,5887.26,0.00588726,Delivered,BOL6790183320,Oceanic Logistics Co.,Unknown (trade database),Routine shipment,0.0,0.0,No Delay,False,On Time
ADGF-2030408,2023-02-16,2023,February,2,1,"Mumbai, India","New York, USA","Mumbai, India → New York, USA",Air,Unknown,Wheat flour,7932.6,7.932600000000001,4827.23,0.004827229999999999,Delivered,BOL5849423662,TransIndia Cargo,Global Retail Ltd.,Routine shipment,0.0,0.0,No Delay,False,On Time
ADGF-2032061,2023-02-16,2023,February,2,1,"Mumbai, India",Domestic,"Mumbai, India → Domestic",Sea,8109090,Fresh white flesh dragon fruits (public trade sample),2145.0,2.145,4972.92,0.0049729200000000005,Delivered,BOL4697797542,A & D Global Freight Pvt. Ltd.,FreshFarms Importers,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2032692,2023-02-16,2023,February,2,1,"Shenzhen, China","Rotterdam, Netherlands","Shenzhen, China → Rotterdam, Netherlands",Sea,7020010,Pharmaceutical tablets,162.9,0.16290000000000002,62399.92,0.06239992,Delivered,BOL4781218423,TransIndia Cargo,FreshFarms Importers,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2035415,2023-02-16,2023,February,2,1,"Istanbul, Turkey","Melbourne, Australia","Istanbul, Turkey → Melbourne, Australia",Sea,30049099,Stainless steel fasteners,870.6,0.8706,44603.59,0.04460359,Delivered,BOL1142555498,A & D Global Freight Pvt. Ltd.,Global Retail Ltd.,No Remarks,10.7,0.4458333333333333,Customs Clearance,True,Delayed
ADGF-2035965,2023-02-16,2023,February,2,1,"Ho Chi Minh City, Vietnam","Ho Chi Minh City, Vietnam","Ho Chi Minh City, Vietnam → Ho Chi Minh City, Vietnam",Sea,85171200,Paperboard rolls,1615.1,1.6151,4125.59,0.00412559,Delivered,BOL5448493615,Oceanic Logistics Co.,HomeStyle Furnitures,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2036923,2023-02-16,2023,February,2,1,"Rotterdam, Netherlands","New York, USA","Rotterdam, Netherlands → New York, USA",Sea,10063010,Furniture (assembled),497.2,0.4972,27962.68,0.02796268,Delivered,BOL9688037412,Oceanic Logistics Co.,HomeStyle Furnitures,Customer requested priority handling,0.0,0.0,No Delay,False,On Time
ADGF-2025396,2023-02-17,2023,February,2,1,"Los Angeles, USA","London, UK","Los Angeles, USA → London, UK",Air,30049099,Fresh white flesh dragon fruits (public trade sample),1579.8,1.5797999999999999,41360.39,0.04136039,Cancelled,BOL7396707296,Sunrise Exports,FreshFarms Importers,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2025814,2023-02-17,2023,February,2,1,"Shenzhen, China",Singapore,"Shenzhen, China → Singapore",Sea,39232990,LED lamps,504.8,0.5048,9982.54,0.009982540000000002,Delivered,BOL3450471992,Oceanic Logistics Co.,Unknown (invoice),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2026655,2023-02-17,2023,February,2,1,"Los Angeles, USA","Dubai, UAE","Los Angeles, USA → Dubai, UAE",Sea,8109090,Processed spices (ground),1369.7,1.3697000000000001,7599.35,0.00759935,Customs Hold,BOL8621847081,Sunrise Exports,Unknown (invoice),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2027285,2023-02-17,2023,February,2,1,Vietnam (unspecified),"Rotterdam, Netherlands","Vietnam (unspecified) → Rotterdam, Netherlands",Sea,7020010,Plastic granules,2329.5,2.3295,6560.11,0.00656011,Delivered,BOL6056006149,Oceanic Logistics Co.,Global Retail Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028465,2023-02-17,2023,February,2,1,"Dubai, UAE","Sydney, Australia","Dubai, UAE → Sydney, Australia",Sea,7020010,LED lamps,1630.0,1.63,10993.07,0.010993069999999999,Delivered,BOL3999652367,Oceanic Logistics Co.,Unknown (invoice),Routine shipment,0.0,0.0,No Delay,False,On Time
ADGF-2029188,2023-02-17,2023,February,2,1,"Shanghai, China","Melbourne, Australia","Shanghai, China → Melbourne, Australia",Air,85171200,Fresh white flesh dragon fruits (public trade sample),1286.5,1.2865,6730.98,0.006730979999999999,Delivered,BOL2573942990,A & D Global Freight Pvt. Ltd.,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2029687,2023-02-17,2023,February,2,1,"Rotterdam, Netherlands","Dubai, UAE","Rotterdam, Netherlands → Dubai, UAE",Air,39232990,Smartphone units,828.9,0.8289,94752.96,0.09475296000000001,Delivered,BOL6132995845,Sunrise Exports,Unknown (invoice),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2030090,2023-02-17,2023,February,2,1,"Shanghai, China","Melbourne, Australia","Shanghai, China → Melbourne, Australia",Air,Unknown,Fresh dragon fruit,789.7,0.7897000000000001,23158.75,0.02315875,Delivered,BOL9115623186,Sunrise Exports,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2030484,2023-02-17,2023,February,2,1,"Kochi, India",India,"Kochi, India → India",Sea,85423900,Wheat flour,3438.5,3.4385,8826.31,0.008826309999999999,Delivered,BOL3151694730,Sunrise Exports,Global Retail Ltd.,No Remarks,30.3,1.2625,Staff Shortage,True,Delayed
ADGF-2030655,2023-02-17,2023,February,2,1,"Shenzhen, China","Melbourne, Australia","Shenzhen, China → Melbourne, Australia",Sea,39232990,Processed spices (ground),372.5,0.3725,13302.225,0.013302225,Delivered,BOL9558410397,Oceanic Logistics Co.,Global Retail Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2032975,2023-02-17,2023,February,2,1,"Dubai, UAE","New Delhi, India","Dubai, UAE → New Delhi, India",Sea,94036000,Lithium batteries (packets),77.2,0.0772,5662.37,0.00566237,Customs Hold,BOL2686768140,Sunrise Exports,Unknown (invoice),No Remarks,32.9,1.370833333333333,Customs Clearance,True,Delayed
ADGF-2034371,2023-02-17,2023,February,2,1,"Jakarta, Indonesia","Kolkata, India","Jakarta, Indonesia → Kolkata, India",Sea,10063010,Paperboard rolls,1625.5,1.6255,49728.35,0.04972835,Delivered,BOL6223061231,A & D Global Freight Pvt. Ltd.,HomeStyle Furnitures,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2034602,2023-02-17,2023,February,2,1,"Hamburg, Germany","Ho Chi Minh City, Vietnam","Hamburg, Germany → Ho Chi Minh City, Vietnam",Sea,39232990,Furniture (assembled),443.9,0.44389999999999996,11936.61,0.01193661,Delivered,BOL4347610142,A & D International,FreshFarms Importers,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2035746,2023-02-17,2023,February,2,1,"Jakarta, Indonesia",Singapore,"Jakarta, Indonesia → Singapore",Sea,Unknown,Cocoa beans,2530.6,2.5305999999999997,14348.41,0.01434841,Delivered,BOL9148940666,Oceanic Logistics Co.,ABC Importers Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2036135,2023-02-17,2023,February,2,1,"Kochi, India","Rotterdam, Netherlands","Kochi, India → Rotterdam, Netherlands",Sea,8109090,Furniture (assembled),342.6,0.3426,5475.47,0.0054754700000000005,Delivered,BOL9005325804,A & D Global Freight Pvt. Ltd.,Unknown (invoice),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2036405,2023-02-17,2023,February,2,1,"New Delhi, India","New York, USA","New Delhi, India → New York, USA",Sea,10063010,Freight / tax invoice (public doc),647.9,0.6479,5489.56,0.00548956,Delivered,BOL9852673475,Sunrise Exports,Unknown (trade database),Manual verification completed,0.0,0.0,No Delay,False,On Time
ADGF-2025570,2023-02-18,2023,February,2,1,"Shanghai, China","Dubai, UAE","Shanghai, China → Dubai, UAE",Sea,8109090,Textile rolls (cotton),740.6,0.7406,8473.19,0.00847319,Delivered,BOL9192634821,A & D Global Freight Pvt. Ltd.,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2027207,2023-02-18,2023,February,2,1,"Seattle, USA","Bengaluru, India","Seattle, USA → Bengaluru, India",Air,10063010,Plastic granules,3825.1,3.8251,6172.23,0.00617223,Customs Hold,BOL5451164725,TransIndia Cargo,HomeStyle Furnitures,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2027420,2023-02-18,2023,February,2,1,"Bangkok, Thailand","Bengaluru, India","Bangkok, Thailand → Bengaluru, India",Sea,85171200,Processed spices (ground),619.2,0.6192000000000001,29367.59,0.02936759,Delivered,BOL2040542714,A & D Global Freight Pvt. Ltd.,Techtronica Pvt. Ltd.,Customer requested priority handling,0.0,0.0,No Delay,False,On Time
ADGF-2027620,2023-02-18,2023,February,2,1,"Rotterdam, Netherlands","Rotterdam, Netherlands","Rotterdam, Netherlands → Rotterdam, Netherlands",Sea,7020010,Fresh dragon fruit,800.4,0.8004,12194.65,0.01219465,Delivered,BOL5943769090,A & D International,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2027734,2023-02-18,2023,February,2,1,"Shanghai, China",Singapore,"Shanghai, China → Singapore",Sea,Unknown,Lithium batteries (packets),268.1,0.2681,5847.31,0.0058473100000000005,Delivered,BOL4617725724,TransIndia Cargo,HomeStyle Furnitures,No Remarks,14.4,0.6,Staff Shortage,True,Delayed
ADGF-2028700,2023-02-18,2023,February,2,1,"Hamburg, Germany","Rotterdam, Netherlands","Hamburg, Germany → Rotterdam, Netherlands",Air,85423900,Furniture (assembled),629.3,0.6293,13980.2,0.0139802,Delivered,BOL4191139525,Sunrise Exports,Unknown (trade database),Port congestion noted,0.0,0.0,No Delay,False,On Time
ADGF-2028761,2023-02-18,2023,February,2,1,"Los Angeles, USA","Ho Chi Minh City, Vietnam","Los Angeles, USA → Ho Chi Minh City, Vietnam",Sea,Unknown,Printed circuit boards,1044.4,1.0444,52830.03,0.05283003,Delivered,BOL1651284377,A & D Global Freight Pvt. Ltd.,Global Retail Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2029693,2023-02-18,2023,February,2,1,"Bangkok, Thailand","Melbourne, Australia","Bangkok, Thailand → Melbourne, Australia",Air,10063010,Fresh dragon fruit,3061.9,3.0619,6216.61,0.00621661,Delivered,BOL8592401686,A & D Global Freight Pvt. Ltd.,ABC Importers Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2030407,2023-02-18,2023,February,2,1,"Mumbai, India","Bengaluru, India","Mumbai, India → Bengaluru, India",Air,7020010,Plastic granules,1046.6,1.0466,12018.62,0.01201862,Customs Hold,BOL3191965425,A & D Global Freight Pvt. Ltd.,Global Retail Ltd.,No Remarks,8.2,0.3416666666666666,Scheduling Error,True,Delayed
ADGF-2031107,2023-02-18,2023,February,2,1,"Jakarta, Indonesia","London, UK","Jakarta, Indonesia → London, UK",Sea,10063010,LED lamps,1906.4,1.9064,36416.84,0.03641684,In Transit,BOL5297517151,TransIndia Cargo,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2031561,2023-02-18,2023,February,2,1,"Los Angeles, USA","Rotterdam, Netherlands","Los Angeles, USA → Rotterdam, Netherlands",Sea,Unknown,Frozen shrimp,1788.2,1.7882,9265.79,0.009265790000000001,Delivered,BOL7961053935,A & D International,Unknown (invoice),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2032051,2023-02-18,2023,February,2,1,Vietnam (unspecified),India,Vietnam (unspecified) → India,Air,94036000,Lithium batteries (packets),220.1,0.2201,23199.86,0.02319986,Delivered,BOL4015304404,Oceanic Logistics Co.,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2032108,2023-02-18,2023,February,2,1,"Shenzhen, China","Sydney, Australia","Shenzhen, China → Sydney, Australia",Sea,10063010,Smartphone units,156.1,0.1561,37499.76,0.03749976,Delivered,BOL5201649381,A & D Global Freight Pvt. Ltd.,FreshFarms Importers,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2032398,2023-02-18,2023,February,2,1,"Seattle, USA","Bengaluru, India","Seattle, USA → Bengaluru, India",Air,7020010,Fresh white flesh dragon fruits (public trade sample),1903.9,1.9039000000000001,19538.93,0.01953893,Delivered,BOL8160546720,A & D Global Freight Pvt. Ltd.,ABC Importers Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2033062,2023-02-18,2023,February,2,1,"Bangkok, Thailand",Domestic,"Bangkok, Thailand → Domestic",Air,94036000,Engine parts,389.8,0.38980000000000004,11291.08,0.01129108,Delivered,BOL5475642185,Oceanic Logistics Co.,Unknown (invoice),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2033109,2023-02-18,2023,February,2,1,Vietnam (unspecified),India,Vietnam (unspecified) → India,Sea,85423900,Plastic granules,635.1,0.6351,106152.21,0.10615221000000001,Delivered,BOL9169416465,Oceanic Logistics Co.,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2033332,2023-02-18,2023,February,2,1,"Mumbai, India","Los Angeles, USA","Mumbai, India → Los Angeles, USA",Sea,94036000,Ceramic tiles,2687.1,2.6871,10601.76,0.01060176,In Transit,BOL4508742328,A & D International,HomeStyle Furnitures,No Remarks,24.8,1.033333333333333,Holiday Closure,True,Delayed
ADGF-2033411,2023-02-18,2023,February,2,1,"Rotterdam, Netherlands","New Delhi, India","Rotterdam, Netherlands → New Delhi, India",Air,94036000,LED lamps,799.1,0.7991,10617.52,0.01061752,Delivered,BOL1544215373,A & D International,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2033596,2023-02-18,2023,February,2,1,"Hamburg, Germany","Dubai, UAE","Hamburg, Germany → Dubai, UAE",Air,Unknown,Textile rolls (cotton),705.3,0.7052999999999999,5184.04,0.00518404,Delivered,BOL1790170442,Oceanic Logistics Co.,HomeStyle Furnitures,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2033960,2023-02-18,2023,February,2,1,"Shanghai, China","Melbourne, Australia","Shanghai, China → Melbourne, Australia",Sea,94036000,Lithium batteries (packets),170.7,0.1707,15610.67,0.01561067,Delivered,BOL1335495022,Oceanic Logistics Co.,Unknown (invoice),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2036016,2023-02-18,2023,February,2,1,"Kochi, India","Dubai, UAE","Kochi, India → Dubai, UAE",Sea,Unknown,Fresh dragon fruit,1044.4,1.0444,3898.99,0.0038989899999999997,Delivered,BOL1605647651,Sunrise Exports,HomeStyle Furnitures,No Remarks,19.1,0.7958333333333334,Documentation Error,True,Delayed
ADGF-2036258,2023-02-18,2023,February,2,1,"Rotterdam, Netherlands","Melbourne, Australia","Rotterdam, Netherlands → Melbourne, Australia",Sea,Unknown,Frozen shrimp,913.0,0.913,10310.0,0.01031,In Transit,BOL4655925596,Oceanic Logistics Co.,Unknown (trade database),No Remarks,14.5,0.6041666666666666,Traffic Issue,True,Delayed
ADGF-2026467,2023-02-19,2023,February,2,1,"Hamburg, Germany","Dubai, UAE","Hamburg, Germany → Dubai, UAE",Air,30049099,Pharmaceutical tablets,272.6,0.2726,94471.76,0.09447175999999999,Delivered,BOL4126589584,A & D International,FreshFarms Importers,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028734,2023-02-19,2023,February,2,1,"Dubai, UAE","Dubai, UAE","Dubai, UAE → Dubai, UAE",Air,Unknown,Paperboard rolls,1258.1,1.2581,31298.41,0.03129841,Delivered,BOL6284045174,TransIndia Cargo,HomeStyle Furnitures,No Remarks,16.8,0.7000000000000001,Documentation Error,True,Delayed
ADGF-2031631,2023-02-19,2023,February,2,1,"Kochi, India","Mumbai, India","Kochi, India → Mumbai, India",Air,94036000,Freight / tax invoice (public doc),901.2,0.9012,20327.33,0.02032733,Delivered,BOL8197999510,TransIndia Cargo,Unknown (trade database),No Remarks,22.7,0.9458333333333333,Weather Delay,True,Delayed
ADGF-2032690,2023-02-19,2023,February,2,1,"Mumbai, India","New York, USA","Mumbai, India → New York, USA",Sea,Unknown,Fresh dragon fruit,1079.7,1.0797,4766.7,0.0047667,Delivered,BOL2346510205,A & D International,ABC Importers Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2032819,2023-02-19,2023,February,2,1,"New Delhi, India","Sydney, Australia","New Delhi, India → Sydney, Australia",Air,30049099,Plastic granules,1491.1,1.4910999999999999,145971.93,0.14597193,Delivered,BOL5903388325,A & D Global Freight Pvt. Ltd.,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2032835,2023-02-19,2023,February,2,1,"Seattle, USA","Ho Chi Minh City, Vietnam","Seattle, USA → Ho Chi Minh City, Vietnam",Road,85171200,Wheat flour,1394.1,1.3941,2545.29,0.00254529,Delivered,BOL8445832419,Sunrise Exports,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2032904,2023-02-19,2023,February,2,1,"Rotterdam, Netherlands",India,"Rotterdam, Netherlands → India",Sea,39232990,Frozen shrimp,827.7,0.8277,19758.32,0.01975832,Delivered,BOL1993240414,A & D Global Freight Pvt. Ltd.,Global Retail Ltd.,Documentation review required,0.0,0.0,No Delay,False,On Time
ADGF-2034749,2023-02-19,2023,February,2,1,"New Delhi, India","New Delhi, India","New Delhi, India → New Delhi, India",Sea,39232990,Printed circuit boards,880.9,0.8809,50117.48,0.050117480000000006,Delivered,BOL1721041773,Oceanic Logistics Co.,HomeStyle Furnitures,Routine shipment,0.0,0.0,No Delay,False,On Time
ADGF-2035340,2023-02-19,2023,February,2,1,"Bangkok, Thailand","Mumbai, India","Bangkok, Thailand → Mumbai, India",Air,94036000,Frozen shrimp,2766.1,2.7661,15308.86,0.01530886,Delivered,BOL9360808776,Oceanic Logistics Co.,FreshFarms Importers,No Remarks,8.6,0.3583333333333333,Documentation Error,True,Delayed
ADGF-2035858,2023-02-19,2023,February,2,1,"Istanbul, Turkey","Kolkata, India","Istanbul, Turkey → Kolkata, India",Sea,39232990,Furniture (assembled),1741.9,1.7419,25605.19,0.02560519,Delivered,BOL2361138917,Sunrise Exports,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2036607,2023-02-19,2023,February,2,1,"Istanbul, Turkey","Mumbai, India","Istanbul, Turkey → Mumbai, India",Sea,85171200,Wheat flour,1504.4,1.5044000000000002,5126.73,0.0051267299999999995,Delivered,BOL4730685769,Sunrise Exports,Unknown (invoice),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2027869,2023-02-20,2023,February,2,1,"Mumbai, India","London, UK","Mumbai, India → London, UK",Sea,Unknown,Engine parts,1281.3,1.2812999999999999,11834.79,0.011834790000000001,Delivered,BOL1770902628,Oceanic Logistics Co.,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028167,2023-02-20,2023,February,2,1,"Kochi, India","New Delhi, India","Kochi, India → New Delhi, India",Sea,7020010,Smartphone units,433.1,0.43310000000000004,13302.225,0.013302225,Delivered,BOL3710783373,Sunrise Exports,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028310,2023-02-20,2023,February,2,1,"Shenzhen, China","Mumbai, India","Shenzhen, China → Mumbai, India",Air,10063010,Printed circuit boards,399.3,0.3993,44816.57,0.04481657,Delivered,BOL1111603668,A & D International,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028669,2023-02-20,2023,February,2,1,"Dubai, UAE",India,"Dubai, UAE → India",Air,10063010,Processed spices (ground),438.6,0.43860000000000005,5294.92,0.00529492,Delivered,BOL1180709821,A & D International,Global Retail Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2029940,2023-02-20,2023,February,2,1,"Los Angeles, USA","Melbourne, Australia","Los Angeles, USA → Melbourne, Australia",Air,Unknown,Ceramic tiles,3729.1,3.7291,9042.19,0.00904219,Delivered,BOL7875346180,TransIndia Cargo,ABC Importers Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2030062,2023-02-20,2023,February,2,1,Vietnam (unspecified),"New Delhi, India","Vietnam (unspecified) → New Delhi, India",Air,7020010,Cocoa beans,1222.2,1.2222,2650.46,0.00265046,In Transit,BOL9153245374,A & D Global Freight Pvt. Ltd.,HomeStyle Furnitures,No Remarks,20.5,0.8541666666666666,Port Congestion,True,Delayed
ADGF-2030633,2023-02-20,2023,February,2,1,"Jakarta, Indonesia",Singapore,"Jakarta, Indonesia → Singapore",Sea,8109090,Smartphone units,475.2,0.4752,90910.66,0.09091066,Delivered,BOL6208528924,TransIndia Cargo,Global Retail Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2030771,2023-02-20,2023,February,2,1,"Hamburg, Germany",India,"Hamburg, Germany → India",Sea,8109090,Processed spices (ground),1372.6,1.3725999999999998,20567.47,0.02056747,Delivered,BOL4957987780,A & D Global Freight Pvt. Ltd.,HomeStyle Furnitures,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2030893,2023-02-20,2023,February,2,1,"Hamburg, Germany","New Delhi, India","Hamburg, Germany → New Delhi, India",Sea,8109090,Paperboard rolls,1196.6,1.1965999999999999,3366.98,0.00336698,Delivered,BOL6778799068,A & D International,HomeStyle Furnitures,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2033370,2023-02-20,2023,February,2,1,"Sydney, Australia","New York, USA","Sydney, Australia → New York, USA",Sea,85423900,Textile rolls (cotton),1018.9,1.0189,5304.38,0.00530438,Delivered,BOL4430801837,Oceanic Logistics Co.,Global Retail Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2034039,2023-02-20,2023,February,2,1,"Seattle, USA","Dubai, UAE","Seattle, USA → Dubai, UAE",Sea,Unknown,Processed spices (ground),1124.9,1.1249,9429.85,0.00942985,In Transit,BOL4145807321,TransIndia Cargo,Unknown (invoice),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2034902,2023-02-20,2023,February,2,1,"Shenzhen, China","Melbourne, Australia","Shenzhen, China → Melbourne, Australia",Sea,7020010,Smartphone units,308.2,0.3082,192240.35,0.19224035,Delivered,BOL6670350007,A & D Global Freight Pvt. Ltd.,Unknown (invoice),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2036630,2023-02-20,2023,February,2,1,"Mumbai, India","New York, USA","Mumbai, India → New York, USA",Sea,7020010,Cocoa beans,1716.6,1.7166,9234.43,0.00923443,Pending Pickup,BOL1075419331,Oceanic Logistics Co.,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2025861,2023-02-21,2023,February,2,1,"Istanbul, Turkey",Singapore,"Istanbul, Turkey → Singapore",Sea,8109090,Stainless steel fasteners,2479.7,2.4797,7947.01,0.007947010000000001,Delivered,BOL4732404352,Sunrise Exports,Unknown (invoice),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2026176,2023-02-21,2023,February,2,1,"Shenzhen, China","New Delhi, India","Shenzhen, China → New Delhi, India",Air,30049099,Paperboard rolls,519.1,0.5191,17329.72,0.01732972,Delivered,BOL8937818030,A & D Global Freight Pvt. Ltd.,Techtronica Pvt. Ltd.,No Remarks,58.3,2.429166666666667,Port Congestion,True,Delayed
ADGF-2026213,2023-02-21,2023,February,2,1,"Istanbul, Turkey","Sydney, Australia","Istanbul, Turkey → Sydney, Australia",Sea,85423900,Fresh dragon fruit,786.1,0.7861,18300.64,0.01830064,Delivered,BOL6418045341,Sunrise Exports,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028123,2023-02-21,2023,February,2,1,"Sydney, Australia",Singapore,"Sydney, Australia → Singapore",Air,8109090,Cocoa beans,4704.0,4.704,30825.15,0.030825150000000003,Pending Pickup,BOL2804195055,A & D International,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028555,2023-02-21,2023,February,2,1,"Jakarta, Indonesia","Rotterdam, Netherlands","Jakarta, Indonesia → Rotterdam, Netherlands",Air,85423900,Lithium batteries (packets),176.4,0.1764,3559.7,0.0035597,In Transit,BOL3943955274,TransIndia Cargo,HomeStyle Furnitures,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2031264,2023-02-21,2023,February,2,1,"Jakarta, Indonesia","Los Angeles, USA","Jakarta, Indonesia → Los Angeles, USA",Sea,8109090,Wheat flour,3642.6,3.6426,9042.92,0.00904292,Delivered,BOL3694635491,Sunrise Exports,ABC Importers Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
